, femr_1, femr_2, femr_3, femr_4, femr_5, femr_6, femr_7, femr_8, femr_9, femr_10, femr_11, femr_12, femr_13, femr_14, femr_15, femr_16, femr_17, femr_18, femr_19, femr_20, femr_21, femr_22, femr_23, femr_24, femr_25, femr_26, femr_27, femr_28, femr_29, femr_30, femr_31, femr_32, femr_33, femr_34, femr_35, femr_36, femr_37, femr_38, femr_39, femr_40, femr_41, femr_42, femr_43, femr_44, femr_45, femr_46, femr_47, femr_48, femr_49, femr_50, femr_51, femr_52, femr_53, femr_54, femr_55, femr_56, femr_57, femr_58, femr_59, femr_60, femr_61, femr_62, femr_63, femr_64, femr_65, femr_66, femr_67, femr_68, femr_69, femr_70, femr_71, femr_72, femr_73, femr_74, femr_75, femr_76, femr_77, femr_78, femr_79, femr_80, femr_81, femr_82, femr_83, femr_84, femr_85, femr_86, femr_87, femr_88, femr_89, femr_90, femr_91, femr_92, femr_93, femr_94, femr_95, femr_96, femr_97, femr_98, femr_99, femr_100, femr_101, femr_102, femr_103, femr_104, femr_105, femr_106, femr_107, femr_108, femr_109, femr_110, femr_111, femr_112, femr_113, femr_114, femr_115, femr_116, femr_117, femr_118, femr_119, femr_120, femr_121, femr_122, femr_123, femr_124, femr_125, femr_126, femr_127, femr_128, femr_129, femr_130, femr_131, femr_132, femr_133, femr_134, femr_135, femr_136, femr_137, femr_138, femr_139, femr_140, femr_141, femr_142, femr_143, femr_144, femr_145, femr_146, femr_147, femr_148, femr_149, femr_150, femr_151, femr_152, femr_153, femr_154, femr_155, femr_156, femr_157, femr_158, femr_159, femr_160, femr_161, femr_162, femr_163, femr_164, femr_165, femr_166, femr_167, femr_168, femr_169, femr_170, femr_171, femr_172, femr_173, femr_174, femr_175, femr_176, femr_177, femr_178, femr_179, femr_180, femr_181, femr_182, femr_183, femr_184, femr_185, femr_186, , overall
business, 0.04502717908581283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.0006523498646788519
check, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.185711918528389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.33134199888400395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.0013046997293577039
chief, 0.01793421880499851, 0.033643030248640585, 0.027451401021727703, 0.028265306653019753, 0.028169596246533424, 0.028020958300877568, 0.028657001500872244, 0.02846309887425191, 0.031045955363801652, 0.030163793906509827, 0.03428111386560399, 0.033183430774002355, 0.03190337390983662, 0.03318957215051496, 0.03401086528651098, 0.03856107080638584, 0.0340653086058307, 0.034531043618380775, 0.0344179965787501, 0.03408576084916068, 0.03439221705317791, 0.03525277367014366, 0.034574295767886704, 0.03800537541961883, 0.03597725217564557, 0.04216297861669883, 0.04149628190331907, 0.04358131931832288, 0.04765141873988672, 0.044734271997913376, 0.0435208876400677, 0.04547681974280526, 0.04645950488680625, 0.04709025004238014, 0.05227422659413983, 0.05080490312900485, 0.05026901931554843, 0.052059701361013316, 0.06868904443070296, 0.055338959186356916, 0.053670756880517784, 0.0526753728070407, 0.055800744468639134, 0, 0, 0.06344406602635277, 0, 0.06288232805163979, 0.06888869370333132, 0, 0, 0.0753547846317401, 0, 0, 0.10586136047895607, 0.10622262087248291, 0, 0, 0, 0, 0.11796571297594143, 0, 0.11702598826339254, 0.12098111930684637, 0.23359216601584756, 0.11975247451686151, 0.12475063578087793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.03718394228669456
city, 0.04510266811014897, 0.042304335751195965, 0.06903737725651618, 0.07108426404652876, 0.07084356247232709, 0.07046975372133639, 0.0720693352623557, 0.07158169061447699, 0.07807730217642794, 0.0505725061236592, 0.08621338447680946, 0.08345282731460776, 0.053489079570736515, 0.05564551481905278, 0.08553373781348927, 0.06465134974516368, 0.057113771344953816, 0.057894620957147584, 0.05770508670553112, 0.05714806150103477, 0.05766186484760086, 0.05910467091225387, 0.057967137352218104, 0.06371967289982829, 0.06031932891480863, 0.07069029515629105, 0.06957251389427464, 0.10960241995424366, 0.07989219371717976, 0.11250197429891261, 0.07296696043959527, 0.11436940353338053, 0.0778938353269649, 0.11842701050872878, 0.08764277639395837, 0.08517931406662367, 0.08428085323236684, 0.08728310417568252, 0.11516379971520518, 0.09278109580655146, 0.08998419394503382, 0.08831533666178443, 0.09355532331547875, 0.08486916835759425, 0.09242574951791165, 0.10637008817830151, 0.11921040626667885, 0.10542828035219998, 0.11549853095272378, 0.16686645404018047, 0.09853771401599008, 0.1263395552644075, 0.10935734018946298, 0, 0.17748676833140314, 0.17809245618089906, 0.1315449847022009, 0.13553478093988763, 0.13410939113112227, 0.14056482094925762, 0.19778088128927646, 0.12922427631903577, 0.1962053422862177, 0.20283650047324453, 0.19581988397894734, 0.20077655912906567, 0.2091564579546227, 0.21232869336985896, 0, 0.20386961070003584, 0.18753888606202343, 0, 0.26151337755696447, 0, 0.2634166389766177, 0, 0, 0, 0.2810847777558537, 0.2592246112148544, 0.2935034111494494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6014157947960032, 0, 0, 0.2266727691776519, 0.5170628927987257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2958036649662356, 0, 0, 0, 0.40363755800280093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.1128565265894414
classification, 0.03529780772762038, 0.04966170645637709, 0.0540293550365673, 0.05563126949931307, 0.0554428939942286, 0.05515034745602497, 0.05640219627218947, 0.056020560600920775, 0.06110409240944055, 0.05936783805441252, 0.06747147333674183, 0.06531103316733698, 0.06279164821039926, 0.0653231205144181, 0.0669395749313968, 0.07589520780886201, 0.06704672929581579, 0.06796338059263343, 0.06774088343719849, 0.06708698303424229, 0.06769014463742969, 0.0693838767333001, 0.06804850869738485, 0.07480149811732191, 0.07080978233131102, 0.08298441814600847, 0.08167223763469698, 0.0857759708711392, 0.09378666753859692, 0.08804519165213508, 0.08565703032608939, 0.08950666080296683, 0.09144076407486783, 0.09268218537504566, 0.1028851950281623, 0.09999329894247609, 0.09893858203412341, 0.10246297031271989, 0.13519254502644776, 0.10891714673751135, 0.10563382088526564, 0.10367472380817763, 0.10982602424607055, 0, 0, 0.12486947262138297, 0, 0.12376387001664638, 0.13558549114329957, 0, 0, 0.1483119353125137, 0, 0, 0.2083544306334124, 0.20906545685925287, 0, 0, 0, 0, 0.2321780000763618, 0, 0.23032845075497185, 0.23811286872306672, 0.22987595535545974, 0.23569467208824368, 0.2455319634253896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6313291305995654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6476168845746276, 0, 0, , 0.07567258430274683
complaint, 0.03586843760999702, 0.05046454537296088, 0.054902802043455406, 0.05653061330603951, 0.05633919249306685, 0.056041916601755136, 0.05731400300174449, 0.05692619774850382, 0.062091910727603304, 0.060327587813019654, 0.06856222773120799, 0.06636686154800471, 0.06380674781967324, 0.06637914430102992, 0.06802173057302197, 0.07712214161277169, 0.0681306172116614, 0.06906208723676155, 0.0688359931575002, 0.06817152169832136, 0.06878443410635582, 0.07050554734028731, 0.06914859153577341, 0.07601075083923765, 0.07195450435129114, 0.08432595723339766, 0.08299256380663814, 0.08716263863664576, 0.09530283747977344, 0.08946854399582675, 0.0870417752801354, 0.09095363948561053, 0.0929190097736125, 0.09418050008476028, 0.10454845318827966, 0.1016098062580097, 0.10053803863109687, 0.10411940272202663, 0.13737808886140593, 0.11067791837271383, 0.10734151376103557, 0.1053507456140814, 0.11160148893727827, 0, 0, 0.12688813205270555, 0, 0.12576465610327958, 0.13777738740666265, 0, 0, 0.1507095692634802, 0, 0, 0.21172272095791214, 0.21244524174496582, 0, 0, 0, 0, 0.23593142595188285, 0, 0.23405197652678508, 0.24196223861369273, 0.35038824902377136, 0.23950494903372302, 0.24950127156175586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.07306318484403142
concept, 0.14464576650902108, 0.18654820381376672, 0.19372953249288888, 0.17097721083754708, 0.17039825733281258, 0.16949914444913383, 0.1733465781119722, 0.17217365857918246, 0.0938986956881766, 0.18246118514559476, 0.10368345380252818, 0.10036350409015644, 0.22514791531428685, 0.23422485035532792, 0.10286608520197921, 0.11662821165042334, 0.20606149875692106, 0.20887873595914663, 0.20819491293303316, 0.2061852146451956, 0.20803897224457157, 0.2132444905127019, 0, 0, 0.21762687049898932, 0.12752220545458212, 0, 0.08787465747485265, 0, 0.09019939943742863, 0, 0.1375449396823727, 0.14051707734773272, 0.09494984680602742, 0, 0.15365976284111865, 0.15203897873142322, 0.15745490832647238, 0, 0.1673730451342071, 0.1623275563152371, 0.15931701065435985, 0.16876971775021085, 0, 0, 0, 0, 0, 0, 0, 0.35551546599119443, 0, 0.32879311020876056, 0, 0, 0, 0.15820093860244738, 0.16299921738946063, 0.16128499007679237, 0.16904853240129233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.12159777193817067, 0, 0.15021104536248622, 0, 0, 0, 0, 0.41475235886125494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3271614501897552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4211867955183135, 0.39974254409007615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.41294024954418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.32064545832876923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.375262716963607, 0, 0.3275241527666872, 0, 0.3096980423589327, 0, 0, 0.25070552953895153, , 0.1343840721238435
configure, 0.03939144785313359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2213186415436454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3865130409701498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.001957049594036556
connection, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.33445687183867984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.37386245508912586, 0, 0, 0.3345793061994379, 0, 0, 0, 0, 0, 0, 0.5967285747391531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.003914099188073112
content, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.30834510597465065, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6707717530287238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.001957049594036556
controller, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.04994837452056364, 0.05490514508228768, 0, 0, 0.05994834554643357, 0, 0.06884047402251822, 0, 0, 0, 0, 0, 0.07551889603842818, 0, 0, 0, 0.09923285609973527, 0, 0, 0, 0, 0.07312896927472094, 0.0796402265686112, 0, 0.102719683788711, 0, 0, 0.09585555450926457, 0, 0, 0, 0.09572030745599557, 0, 0, 0, 0, 0, 0, 0, 0.11134830604991086, 0, 0, 0, 0, 0, 0, 0.14556820697352332, 0, 0, 0.19538964067349188, 0, 0.1766581494444648, 0, 0.18403623355137788, 0.18403623355137788, 0.18403623355137788, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3242162726159275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2764884091348122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.013046997293577039
converter, 0.03757714763409995, 0, 0.05751827610516487, 0, 0.059023093699177284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.29098765364937507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.0026093994587154078
country, 0.030480145447397387, 0.04288357077688615, 0.046655095768313455, 0.0480383710752548, 0.04787570621974853, 0.04762308823555565, 0.04870407701223225, 0.04837452932876287, 0.05276422939472217, 0.0512649497317101, 0.05826255094150937, 0.056396980957616805, 0.05422145718237232, 0.056407418549094125, 0.05780324930772917, 0.06553656223143907, 0.057895778584278516, 0.05868731966431234, 0.05849519029153029, 0.057930538244467866, 0.058451376635772594, 0.05991393773955068, 0.058760828960824664, 0.06459212877731027, 0.06114522695606546, 0.07165819346278422, 0.07052510743243798, 0.07406873787230239, 0.08098608530201354, 0.07602824141968245, 0.07396603106567333, 0.07729024025621017, 0.07896036519690727, 0.08003234966922647, 0.08884278970074286, 0.08634559741076668, 0.08543483476452836, 0.08847819281593121, 0.11674063351491165, 0.09405146347593514, 0.09121626616566877, 0.08952455872831173, 0.09483629178222894, 0.08603120515691987, 0.09369125175180333, 0.10782651763557964, 0.12084264659170194, 0.10687181448632363, 0.11707994792466354, 0.11276747036372507, 0.09988690185444682, 0.12806940858179935, 0.11085467138800954, 0, 0.17991693419947735, 0.18053091518514558, 0.1333461112590986, 0.13739053616983257, 0.13594562978698946, 0.14248944796981966, 0.20048891609990183, 0, 0.19889180466558495, 0.2056137573070008, 0.19850106862617323, 0.2035256110482138, 0.21202024825283555, 0.21523591821986449, 0, 0.20666101297818049, 0.19010668649091855, 0, 0.2650940438238554, 0, 0.26702336488155126, 0, 0, 0, 0.28493341751283013, 0.26277393947330174, 0.29752208802685437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.40643362505685987, 0, 0, 0, 0.5241425675572461, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.798309258654031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4091642021901563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.10111422902522206
create, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.15617270658589114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2970660334740782, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.49931988172948294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.001957049594036556
csvwriter, 0.03939144785313359, 0, 0, 0, 0, 0, 0, 0, 0, 0.06625298417736401, 0, 0.07288543744976857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.001957049594036556
current, 0.024823293952514734, 0, 0, 0, 0, 0, 0, 0, 0.042971644564607725, 0, 0, 0, 0, 0, 0, 0.053373542843352724, 0, 0, 0, 0, 0, 0, 0.04785532709170653, 0.05260438807370481, 0, 0.05835905223952101, 0.05743625718090443, 0, 0.06595576799279915, 0, 0, 0, 0, 0, 0.0723543359761526, 0, 0, 0, 0, 0, 0, 0, 0, 0.07006455721757962, 0.07630296538537883, 0, 0.09841529606617434, 0, 0, 0.09183880273639776, 0, 0, 0, 0.09170922310473803, 0, 0, 0, 0, 0, 0, 0, 0.10668234268428799, 0, 0, 0, 0, 0, 0, 0.13946828551954615, 0, 0, 0.18720199114610636, 0, 0.16925542835432872, 0, 0.17632433963793984, 0.17632433963793984, 0.17632433963793984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3106302441954626, 0, 0, 0, 0, 0, 0, 0, 0.408793894521825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.015004046887613596
custom, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.22236729398352753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4729247354827852, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6792559880334129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.0026093994587154078
