, fg_01, fg_02, fg_03, fg_04, fg_05, fg_06, fg_07, fg_08, fg_09, fg_10, , 
removal, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
renderer, 0, 0, 0, 0, 0, 0.0945030794793422, 0, 0, 0, 0, , 0.07795495505021144
row, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
screen, 0, 0, 0, 0, 0, 0, 0.7071067811865475, 0, 0, 0, , 0.02598498501673715
selected, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
service, 0, 0, 0, 0, 0, 0.1890061589586844, 0, 0, 0, 0, , 0.15590991010042288
show, 0, 0, 0, 0, 0, 0, 0, 0, 0.62583987960545, 0, , 0.02598498501673715
source, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
splash, 0, 0, 0, 0, 0, 0, 0.7071067811865475, 0, 0, 0, , 0.02598498501673715
structure, 0, 0, 0, 0, 0, 0.31501026493114065, 0, 0, 0, 0, , 0.2598498501673715
stucture, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
substitute, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
tab, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
tabbed, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
table, 0, 0, 0, 0, 0, 0.12600410597245626, 0, 0, 0, 0, , 0.1039399400669486
test, 0, 0, 0, 0, 0.6797526647723708, 0, 0, 0, 0, 0.4689108459326631, , 0.0519699700334743
topic, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
tree, 0, 0, 0, 0, 0, 0.12600410597245626, 0, 0, 0, 0, , 0.1039399400669486
trends, 0, 0, 0, 0, 0, 0.22050718545179845, 0, 0, 0, 0, , 0.18189489511716003
view, 0, 0, 0, 0, 0, 0.2835092384380266, 0, 0, 0, 0, , 0.23386486515063434
viewer, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
violation, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
window, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
